Karatsuba,SS,Optimized
0.0014460,0.0013080,0.0005390
0.0018390,0.0005920,0.0001080
0.0019000,0.0009900,0.0000720
0.0014670,0.0009520,0.0001830
0.0017070,0.0009200,0.0000620
0.0013260,0.0006310,0.0000320
0.0013970,0.0008200,0.0000430
0.0013190,0.0003570,0.0000170
0.0018580,0.0000040,0.0000020
0.0014070,0.0007830,0.0000510
0.0014070,0.0006860,0.0000460
0.0014360,0.0009190,0.0000820
0.0014340,0.0009210,0.0000790
0.0014020,0.0005800,0.0000430
0.0013180,0.0000050,0.0000030
0.0014830,0.0007630,0.0000550
0.0014330,0.0009190,0.0000810
0.0014320,0.0008930,0.0000590
0.0014100,0.0008110,0.0000490
0.0014710,0.0009140,0.0000710
0.0014040,0.0006390,0.0000410
0.0014410,0.0006630,0.0000510
0.0014320,0.0007770,0.0000510
0.0014340,0.0009570,0.0000780
0.0014510,0.0009680,0.0000800
0.0013980,0.0000030,0.0000030
0.0014470,0.0009560,0.0000780
0.0014820,0.0006870,0.0000500
0.0013380,0.0006250,0.0000300
0.0014900,0.0010470,0.0000940
0.0015820,0.0010750,0.0000840
0.0014830,0.0003570,0.0000030
0.0015150,0.0000100,0.0000030
0.0015210,0.0008990,0.0000570
0.0015360,0.0009880,0.0000770
0.0014330,0.0003700,0.0000170
0.0015200,0.0009750,0.0000850
0.0014010,0.0007820,0.0000450
0.0014420,0.0000090,0.0000030
0.0014300,0.0000080,0.0000020
0.0014090,0.0008140,0.0000620
0.0014110,0.0008640,0.0000660
0.0014120,0.0007610,0.0000580
0.0014580,0.0009450,0.0000810
0.0004340,0.0000010,0.0000010
0.0014240,0.0000090,0.0000030
0.0014320,0.0006810,0.0000470
0.0014880,0.0009920,0.0000800
0.0014070,0.0008740,0.0000630
0.0014100,0.0008620,0.0000530
0.0014370,0.0007810,0.0000560
0.0014620,0.0009260,0.0000800
0.0014860,0.0009290,0.0000740
0.0014160,0.0009070,0.0000700
0.0013760,0.0008710,0.0000520
0.0013160,0.0005100,0.0000210
0.0014620,0.0009220,0.0000790
0.0014390,0.0006600,0.0000520
0.0014330,0.0008390,0.0000600
0.0014380,0.0009190,0.0000790
0.0014580,0.0009570,0.0000780
0.0015310,0.0011060,0.0001010
0.0016020,0.0008760,0.0000630
0.0016630,0.0000110,0.0000030
0.0015050,0.0000040,0.0000030
0.0015960,0.0007040,0.0000420
0.0014740,0.0009510,0.0000830
0.0014240,0.0007110,0.0000450
0.0014390,0.0008670,0.0000540
0.0014070,0.0008920,0.0000700
0.0014360,0.0009080,0.0000710
0.0014330,0.0009180,0.0000790
0.0013310,0.0000040,0.0000020
0.0014340,0.0009190,0.0000780
0.0000020,0.0000000,0.0000010
0.0014270,0.0009150,0.0000730
0.0014350,0.0009380,0.0000780
0.0013200,0.0005250,0.0000230
0.0014320,0.0008180,0.0000570
0.0015140,0.0008710,0.0000670
0.0014310,0.0009510,0.0000800
0.0015120,0.0009360,0.0000830
0.0014040,0.0007870,0.0000510
0.0014870,0.0009310,0.0000810
0.0014030,0.0006120,0.0000430
0.0000090,0.0000010,0.0000010
0.0014380,0.0009100,0.0000690
0.0013200,0.0000040,0.0000030
0.0014320,0.0009210,0.0000780
0.0013540,0.0007870,0.0000470
0.0014100,0.0008520,0.0000540
0.0013560,0.0006880,0.0000380
0.0014860,0.0009240,0.0000790
0.0015230,0.0000100,0.0000030
0.0013150,0.0000040,0.0000030
0.0014320,0.0009340,0.0000820
0.0014330,0.0006600,0.0000540
0.0014360,0.0009220,0.0000780
0.0014110,0.0006400,0.0000460
0.0014130,0.0007850,0.0000510
0.0014330,0.0005810,0.0000400
0.0016080,0.0008890,0.0000660
0.0014350,0.0009550,0.0000790
0.0014060,0.0007810,0.0000590
0.0014340,0.0009230,0.0000800
0.0014350,0.0009180,0.0000790
0.0013190,0.0005780,0.0000280
0.0014390,0.0009200,0.0000710
0.0014370,0.0007430,0.0000560
0.0013970,0.0006830,0.0000410
0.0014080,0.0007600,0.0000470
0.0014240,0.0009020,0.0000710
0.0014540,0.0009390,0.0000790
0.0014420,0.0005870,0.0000360
0.0013440,0.0000040,0.0000020
0.0014070,0.0007560,0.0000500
0.0014110,0.0000090,0.0000020
0.0014000,0.0000080,0.0000030
0.0014320,0.0009220,0.0000800
0.0014460,0.0006440,0.0000330
0.0015330,0.0000090,0.0000030
0.0014700,0.0009290,0.0000830
0.0013130,0.0002580,0.0000370
0.0014390,0.0009080,0.0000660
0.0015410,0.0007480,0.0000540
0.0015410,0.0009160,0.0000550
0.0015450,0.0010060,0.0000870
0.0014940,0.0009120,0.0000700
0.0014600,0.0000100,0.0000020
0.0014600,0.0007640,0.0000600
0.0014550,0.0009190,0.0000810
0.0014330,0.0009190,0.0000770
0.0014040,0.0006330,0.0000480
0.0015470,0.0008860,0.0000540
0.0015530,0.0009970,0.0000890
0.0015560,0.0009910,0.0000860
0.0015280,0.0000030,0.0000030
0.0014830,0.0009670,0.0000490
0.0014270,0.0000030,0.0000030
0.0015340,0.0009610,0.0000570
0.0015140,0.0000030,0.0000040
0.0015480,0.0010110,0.0000870
0.0015360,0.0009160,0.0000680
0.0014910,0.0008500,0.0000640
0.0014740,0.0009210,0.0000820
0.0013250,0.0008290,0.0000340
0.0013180,0.0006750,0.0000310
0.0014040,0.0005840,0.0000350
0.0014070,0.0006380,0.0000440
0.0014340,0.0009040,0.0000530
0.0014120,0.0008030,0.0000600
0.0013490,0.0002920,0.0000140
0.0015280,0.0009290,0.0000970
0.0013160,0.0003510,0.0000230
0.0014610,0.0009580,0.0000790
0.0013180,0.0002610,0.0000120
0.0014090,0.0006390,0.0000400
0.0014040,0.0005390,0.0000170
0.0014360,0.0009190,0.0000800
0.0014030,0.0000080,0.0000020
0.0014560,0.0009180,0.0000810
0.0014080,0.0006810,0.0000540
0.0013550,0.0007550,0.0000500
0.0014100,0.0000080,0.0000030
0.0013500,0.0000020,0.0000030
0.0014380,0.0005390,0.0000190
0.0013590,0.0007120,0.0000510
0.0014180,0.0008950,0.0000710
0.0013430,0.0000010,0.0000020
0.0014380,0.0009190,0.0000800
0.0000010,0.0000010,0.0000010
0.0014010,0.0000030,0.0000020
0.0015080,0.0009340,0.0000850
0.0014350,0.0009340,0.0000850
0.0014450,0.0000030,0.0000020
0.0014990,0.0009150,0.0000710
0.0013170,0.0008030,0.0000380
0.0014850,0.0010070,0.0000620
0.0016560,0.0010890,0.0000960
0.0015570,0.0010230,0.0000820
0.0015020,0.0008460,0.0000460
0.0016080,0.0000050,0.0000030
0.0014810,0.0005850,0.0000350
0.0014210,0.0007090,0.0000630
0.0013310,0.0000020,0.0000020
0.0014340,0.0010400,0.0001060
0.0014740,0.0009320,0.0000690
0.0014390,0.0007270,0.0000470
0.0015260,0.0000090,0.0000030
0.0014480,0.0008570,0.0000530
0.0001640,0.0000010,0.0000020
0.0015360,0.0000100,0.0000020
0.0015110,0.0000080,0.0000020
0.0015380,0.0009930,0.0000740
0.0015480,0.0010200,0.0000860
0.0015330,0.0008320,0.0000520
0.0015590,0.0010290,0.0000830
0.0014350,0.0009200,0.0000770
0.0014280,0.0005240,0.0000160
0.0014330,0.0009520,0.0000800
0.0013210,0.0003260,0.0000020
0.0014150,0.0008670,0.0000660
