Karatsuba,SS,Optimized
0.0017500,0.0028290,0.0003200
0.0018140,0.0011410,0.0001030
0.0016120,0.0000040,0.0000030
0.0016370,0.0007980,0.0000540
0.0014110,0.0006360,0.0000600
0.0014100,0.0006370,0.0000490
0.0014010,0.0009580,0.0000650
0.0014240,0.0009780,0.0000710
0.0015810,0.0010510,0.0001000
0.0016100,0.0000120,0.0000030
0.0015620,0.0010020,0.0000700
0.0015870,0.0008860,0.0000690
0.0016340,0.0010100,0.0000850
0.0014110,0.0009050,0.0000690
0.0014090,0.0006890,0.0000440
0.0014250,0.0009460,0.0000710
0.0014010,0.0006160,0.0000370
0.0014470,0.0010380,0.0000790
0.0013440,0.0000030,0.0000020
0.0015010,0.0000100,0.0000030
0.0014410,0.0000090,0.0000020
0.0014390,0.0000090,0.0000030
0.0014330,0.0009650,0.0000830
0.0014160,0.0008700,0.0000660
0.0014470,0.0009290,0.0000760
0.0014650,0.0006190,0.0000290
0.0015330,0.0000110,0.0000030
0.0015600,0.0010540,0.0000850
0.0014510,0.0008170,0.0000640
0.0014140,0.0008830,0.0000680
0.0014370,0.0009710,0.0000930
0.0015350,0.0009290,0.0000710
0.0015110,0.0000090,0.0000030
0.0015430,0.0000090,0.0000040
0.0015690,0.0010020,0.0000840
0.0014470,0.0007660,0.0000480
0.0013540,0.0005810,0.0000340
0.0014120,0.0009140,0.0000700
0.0000010,0.0000020,0.0000010
0.0013940,0.0007810,0.0000520
0.0014740,0.0009220,0.0000800
0.0013280,0.0008410,0.0000460
0.0014440,0.0006380,0.0000390
0.0014690,0.0008760,0.0000640
0.0014370,0.0007930,0.0000620
0.0014320,0.0009220,0.0000800
0.0014070,0.0006370,0.0000410
0.0014340,0.0009210,0.0000790
0.0014020,0.0000080,0.0000020
0.0013300,0.0007860,0.0000430
0.0014340,0.0009580,0.0000780
0.0014270,0.0000190,0.0000020
0.0014550,0.0009500,0.0000760
0.0013140,0.0005600,0.0000300
0.0014260,0.0000080,0.0000030
0.0013630,0.0000040,0.0000020
0.0014020,0.0007340,0.0000540
0.0014510,0.0009310,0.0000810
0.0014300,0.0009160,0.0000720
0.0014170,0.0009460,0.0000700
0.0014360,0.0009220,0.0000800
0.0014140,0.0000030,0.0000020
0.0014690,0.0009200,0.0000780
0.0014330,0.0009530,0.0000790
0.0013980,0.0000020,0.0000030
0.0014090,0.0008840,0.0000630
0.0004370,0.0001040,0.0000100
0.0014160,0.0008450,0.0000610
0.0014550,0.0009230,0.0000810
0.0014100,0.0000080,0.0000030
0.0014390,0.0007880,0.0000480
0.0013140,0.0000050,0.0000010
0.0013240,0.0006460,0.0000270
0.0014030,0.0006830,0.0000540
0.0014170,0.0008680,0.0000620
0.0014170,0.0009770,0.0000780
0.0015500,0.0007550,0.0000630
0.0014640,0.0000040,0.0000020
0.0000560,0.0000010,0.0000020
0.0000020,0.0000020,0.0000000
0.0015910,0.0007250,0.0000580
0.0015610,0.0010750,0.0000840
0.0015030,0.0008070,0.0000390
0.0015370,0.0000050,0.0000040
0.0015640,0.0008640,0.0000560
0.0015820,0.0010020,0.0000710
0.0014900,0.0000060,0.0000020
0.0014430,0.0000040,0.0000040
0.0016330,0.0010840,0.0000950
0.0015530,0.0009830,0.0000680
0.0015020,0.0007270,0.0000330
0.0016100,0.0010630,0.0000960
0.0014820,0.0009430,0.0000640
0.0015640,0.0010500,0.0000930
0.0015870,0.0007430,0.0000460
0.0015060,0.0008530,0.0000540
0.0014410,0.0009660,0.0000830
0.0014030,0.0008040,0.0000580
0.0013480,0.0007990,0.0000460
0.0014330,0.0009270,0.0000800
0.0014350,0.0009230,0.0000790
0.0014060,0.0007390,0.0000560
0.0013990,0.0000090,0.0000020
0.0014340,0.0009470,0.0000610
0.0013750,0.0003100,0.0000220
0.0014930,0.0010520,0.0001010
0.0015860,0.0000040,0.0000040
0.0015080,0.0009420,0.0000840
0.0014100,0.0008710,0.0000630
0.0014330,0.0009210,0.0000800
0.0014030,0.0000040,0.0000020
0.0013980,0.0000090,0.0000040
0.0013130,0.0000040,0.0000030
0.0014540,0.0009500,0.0000690
0.0016020,0.0000090,0.0000030
0.0015600,0.0011190,0.0000880
0.0015880,0.0010160,0.0000790
0.0016040,0.0006070,0.0000420
0.0015210,0.0008260,0.0000440
0.0014630,0.0007870,0.0000510
0.0013970,0.0006080,0.0000420
0.0014550,0.0009370,0.0000810
0.0014640,0.0008040,0.0000540
0.0014390,0.0000020,0.0000040
0.0014260,0.0009240,0.0000790
0.0004380,0.0000030,0.0000020
0.0014360,0.0005820,0.0000380
0.0014100,0.0008880,0.0000660
0.0014600,0.0010580,0.0000920
0.0014360,0.0000020,0.0000020
0.0015590,0.0010350,0.0000900
0.0015460,0.0009980,0.0000870
0.0014480,0.0000040,0.0000040
0.0014680,0.0006300,0.0000380
0.0014270,0.0008250,0.0000490
0.0015790,0.0010260,0.0000920
0.0015570,0.0010010,0.0000870
0.0015310,0.0000100,0.0000040
0.0014350,0.0006060,0.0000310
0.0014920,0.0009300,0.0000820
